room_type,host_acceptance_rate,price,availability_365,review_scores_rating,review_scores_cleanliness,review_scores_communication,number_of_reviews
1,0.59,486.00,295.00,4.82,4.5,4.77,22
1,0.89,165.00,11.00,4.29,5,4.57,7
1,0.69,418.00,0.00,4.85,4.88,4.94,111
1,0.67,205.00,146.00,4.79,4.84,4.87,97
1,1.00,108.00,123.00,4.91,4.94,4.97,271
1,0.75,199.00,357.00,4.75,4.8,4.95,20
1,0.95,125.00,138.00,4.79,4.83,4.9,49
2,0.95,130.00,343.00,4.82,4.93,4.78,55
2,0.60,69.00,361.00,4.25,4.44,4.56,17
2,0.95,140.00,305.00,4.78,4.89,4.92,36
1,0.95,160.00,322.00,4.88,4.83,4.87,84
2,0.50,75.00,327.00,4.88,4.83,4.96,0
1,1.00,180.00,1.00,4.88,4.83,4.96,119
2,1.00,159.00,206.00,4.96,5,4.96,50
2,0.60,75.00,363.00,4.14,4.57,4.57,8
1,0.28,448.00,365.00,4.65,4.88,4.77,52
1,1.00,99.00,116.00,4.8,4.83,4.95,173
1,1.00,150.00,341.00,4.98,4.98,4.97,241
1,0.92,90.00,252.00,4.76,4.73,4.95,40
1,0.99,101.00,327.00,4.86,4.92,4.92,317
1,0.92,99.00,143.00,4.64,4.84,4.81,100
1,0.99,142.00,242.00,4.98,5,4.99,207
1,0.89,220.00,177.00,4.25,4.75,4.5,4
2,0.94,76.00,247.00,4.78,4.79,4.94,227
1,0.25,236.00,179.00,4.22,3.44,5,9
2,0.60,95.00,363.00,4.2,4.2,4.4,6
1,0.99,175.00,60.00,4.91,4.9,4.96,458
1,1.00,130.00,237.00,4.85,4.85,4.95,572
2,0.00,33.00,183.00,4.7,4.58,4.84,50
1,0.95,81.00,136.00,5,5,5,2
1,0.25,61.00,51.00,4.91,4.98,5,49
1,1.00,83.00,0.00,4.81,4.75,4.69,484
1,1.00,250.00,0.00,4.9,4.85,4.97,100
1,0.90,69.00,276.00,4.96,4.98,4.98,320
1,1.00,140.00,365.00,3.8,3.8,4,15
1,0.93,289.00,76.00,4.85,4.91,4.91,198
1,1.00,115.00,223.00,4.91,4.92,4.94,174
1,0.99,448.00,219.00,4.93,4.89,4.91,154
1,0.67,107.00,244.00,4.92,4.97,4.9,89
1,0.87,179.00,204.00,4.75,4.95,4.91,79
1,0.87,193.00,169.00,4.89,5,4.83,0
1,0.87,396.00,171.00,4.89,5,4.83,19
1,0.87,501.00,130.00,4.77,4.92,4.64,26
1,1.00,414.00,48.00,5,4.98,4.98,40
1,0.87,139.00,81.00,4.96,4.98,4.94,48
1,0.97,165.00,362.00,4.97,4.98,4.98,237
1,0.91,175.00,269.00,4.74,4.94,4.82,35
1,1.00,200.00,149.00,4.96,4.93,4.96,28
1,0.87,174.00,200.00,5,5,5,1
1,0.87,154.00,135.00,5,4.67,5,3
1,0.93,183.00,48.00,4.93,4.8,4.97,124
2,0.00,65.00,0.00,4.69,4.82,4.87,91
2,0.00,15.00,0.00,5,5,5,2
1,1.00,105.00,301.00,5,5,5,7
2,0.93,175.00,338.00,4.84,4.7,4.9,165
1,1.00,159.00,277.00,4.86,5,5,14
1,1.00,379.00,280.00,4.87,4.74,4.98,123
1,0.83,525.00,52.00,4.65,4.52,4.78,24
2,1.00,85.00,353.00,5,5,5,36
1,0.96,4724.00,363.00,5,4.92,5,0
1,0.96,175.00,365.00,5,4.92,5,12
1,0.97,90.00,79.00,4.88,4.96,4.99,136
1,0.97,600.00,1.00,4.88,4.5,4.75,10
1,0.00,350.00,170.00,4.9,4.9,4.8,10
2,1.00,147.00,354.00,5,5,5,3
1,0.93,189.00,62.00,4.92,4.9,4.94,211
1,0.93,272.00,66.00,4.91,4.83,4.95,142
2,0.00,62.00,260.00,4.89,4.98,4.96,46
1,1.00,450.00,81.00,5,5,4.88,17
1,1.00,589.00,358.00,4.91,5,4.91,33
1,0.22,120.00,0.00,4.87,4.84,4.87,0
2,0.22,70.00,144.00,4.87,4.84,4.87,40
1,0.75,375.00,146.00,4.86,4.43,5,15
1,1.00,280.00,65.00,5,5,5,1
1,0.87,250.00,269.00,5,4.9,5,11
1,1.00,125.00,76.00,4.93,4.96,4.95,187
2,0.92,82.00,223.00,4.95,4.95,4.95,58
1,0.90,55.00,86.00,4.82,4.94,4.95,189
1,0.87,291.00,114.00,4.89,4.92,4.89,36
1,1.00,87.00,326.00,4.86,4.97,4.97,36
1,1.00,99.00,182.00,4.96,4.99,4.99,129
1,0.91,106.00,268.00,4.94,4.98,4.99,262
1,0.75,339.00,287.00,4.93,5,4.92,29
1,0.40,400.00,0.00,4.71,5,4.86,7
1,1.00,261.00,360.00,4.67,4.6,4.83,66
1,1.00,120.00,338.00,4.82,4.91,4.95,0
1,1.00,77.00,99.00,4.82,4.91,4.95,342
1,0.99,297.00,259.00,4.95,4.92,4.98,844
1,0.93,235.00,288.00,4.81,4.76,4.92,170
1,0.83,63.00,0.00,4.92,4.92,4.84,25
1,0.94,110.00,213.00,4.8,4.74,4.92,172
1,0.33,140.00,206.00,4.98,4.92,4.96,52
2,1.00,88.00,295.00,4.91,4.92,4.96,334
1,0.99,163.00,137.00,4.91,4.91,4.92,387
1,0.81,114.00,129.00,4.87,5,4.97,31
1,0.93,220.00,1.00,4.91,4.9,4.9,124
1,0.50,200.00,112.00,4.87,4.84,4.94,244
1,1.00,550.00,89.00,5,5,5,14
